"CountryName","intl_travel-CountryCode","intl_travel-Date","International Travel","intl_travel-PolicyValue","intl_travel-Flag","intl_travel-Notes","intl_travel-region","intl_travel-value"
"Yemen","YEM",20200929,"C8: International travel controls",4,NA,"There are limited commercial flights entering or leaving Yemen. The majority of land sea and air ports are closed until further notice. See https://www.gov.uk/foreign-travel-advice/yemen/coronavirus [accessed 12 October 2020, web archive unavailable]","yemen","ban on all regions/total border closure"
"South Africa","ZAF",20201001,"C8: International travel controls",3,NA,"""Following consultations with provincial and local government representatives, and drawing on the advice of scientists and engagements with various stakeholders, Cabinet decided this morning that the country should move to alert level 1. The move to alert level 1 will take effect from midnight on Sunday 20 September 2020.""    https://web.archive.org/web/20200924170050/https://sacoronavirus.co.za/2020/09/16/statement-by-president-cyril-ramaphosa-on-progress-in-the-national-effort-to-contain-the-covid-19-pandemic-3/    ""One of the earliest measures we took to contain the spread of the virus was to severely restrict international arrivals and to close our borders.    With the move to alert level 1, we will gradually and cautiously ease restrictions on international travel.    We will be allowing travel into and out of South Africa for business, leisure and other travel with effect from 1 October 2020.    This is subject to various containment and mitigation measures:    – Travel may be restricted to and from certain countries that have high infection rates. A list of countries will be published based on the latest scientific data.    – Travellers will only be able to use one of the land border posts that have remained operational during the lockdown or one of the three main airports: King Shaka, OR Tambo and Cape Town International Airport.    – On arrival, travellers will need to present a negative COVID-19 test result not older than 72 hours from time of departure.    – Where a traveller has not done a COVID-19 test prior to departure, they will be required to remain in mandatory quarantine at their own cost.    – All travellers will be screened on arrival and those presenting with symptoms will be required to remain in quarantine until a repeat COVID-19 test is conducted.    – All travellers will be asked to install the COVID Alert South Africa mobile app.    Countries that have used this type of app have been able to manage the coronavirus pandemic quite effectively.    In preparation for the re-opening of our borders, South African missions abroad will open for visa applications and all long-term visas will be reinstated.    The tourism sector is one of our greatest economic drivers.""    https://web.archive.org/web/20200924170050/https://sacoronavirus.co.za/2020/09/16/statement-by-president-cyril-ramaphosa-on-progress-in-the-national-effort-to-contain-the-covid-19-pandemic-3/","south africa","ban arrivals from some regions"
"Zambia","ZMB",20200926,"C8: International travel controls",2,NA,"Entry to Zambia  Zambia’s borders are open, but under tight screening.    Tourist and business visit visas are available, but must be obtained in advance, not on arrival in Zambia.    All visitors to Zambia must have proof that they have tested negative for COVID-19 in the 14 days before their arrival. Visitors are responsible for monitoring their condition for 14 days after arrival, and should report any occurrence of COVID-19 symptoms to medical authorities.    Returning residents may be asked for proof of having tested negatively for COVID-19 in the previous 14 days.    All airports are open to flights, though availability of international flights remains limited. Please check before booking.    International train and bus services are suspended.    Testing on arrival  Anyone entering Zambia with a body temperature equal to, or above 38.0 C will be tested. Any other arrivals may be randomly selected for testing. These tests are in addition to the requirement for visitors to show proof that they have tested negative for COVID-19 in the 14 days before their arrival.    Quarantine Requirements  If your body temperature is equal to, or above 38.0, and you have other symptoms of COVID-19 (a cough, shortness of breath, a headache or a sore throat), you will be tested and taken to a government facility for treatment and quarantine until your tests results are known.    Returning residents must self-isolate for 14 days at their residence after arrival. There is no requirement for visitors to self-isolate.    Source: http://web.archive.org/web/20201004150732/https://www.gov.uk/foreign-travel-advice/zambia/entry-requirements","zambia","quarantine arrivals from some/ all regions"
"Zimbabwe","ZWE",20200821,"C8: International travel controls",4,NA,"All borders remain closed in Zimbabwe.   https://web.archive.org/save/https://zw.usembassy.gov/covid-19-information-2/  https://web.archive.org/web/20200820114321/https://www.garda.com/crisis24/news-alerts/370591/zimbabwe-authorities-reduce-covid-19-curfew-hours-august-18-update-13","zimbabwe","ban on all regions/total border closure"
"Taiwan","TWN",20200926,"C8: International travel controls",3,NA,"""Foreign nationals are permitted to enter Taiwan provided they are not entering for study, tourism or to visit friends. You will need to apply for a visa before travelling.""  http://web.archive.org/web/20201004190303/https://www.gov.uk/foreign-travel-advice/taiwan  ","taiwan","ban arrivals from some regions"
"Kosovo","RKS",20200908,"C8: International travel controls",1,NA,"No change found. ","kosovo","screening arrivals"
"Anguilla","AIA",20200731,"C8: International travel controls",2,NA,"All arrivals must apply for pre-travel clearance and have a negative PCT test result before travelling. On arrival they are required to quarantine for at least 10 days.    https://web.archive.org/web/20200927175056/https://beatcovid19.ai/wp-content/uploads/2020/08/Public-Health-QuarantineCOVID-19-Regulations-2020.pdf","anguilla","quarantine arrivals from some/ all regions"
"Falkland Islands","FLK",20200901,"C8: International travel controls",3,NA,"No changes in measures (ban on visitor permanents for those without a connection to the islands) published on government COVID-19 website.    https://web.archive.org/web/20200927181612/https://fig.gov.fk/covid-19/","falkland islands","ban arrivals from some regions"
"Montserrat","MSR",20200811,"C8: International travel controls",4,NA,"Restrictions on arrivals remain in place.    https://web.archive.org/web/20200927184702/https://www.gov.ms/2020/09/23/premiers-press-conference-remarks/","montserrat","ban on all regions/total border closure"
"Pitcairn Islands","PCN",20200521,"C8: International travel controls",4,NA,"Pre-travel isolation must now take place in managed self-isolation facility  Pitcairn bound travellers are required to have PCR and antibody testing done 3 days before travel    https://web.archive.org/web/20200806140937/https://www.government.pn/minutes/Approved%20Special%20Council%20Meeting%20Minutes%2021st%20May%202020.pdf  ","pitcairn islands","ban on all regions/total border closure"
