"","CountryName","intl_travel.CountryCode","intl_travel.Date","International.Travel","intl_travel.PolicyValue","intl_travel.Flag","intl_travel.Notes","intl_travel.region","intl_travel.value","dom_move.CountryCode","dom_move.Date","Domestic.Movement","dom_move.PolicyValue","dom_move.Flag","dom_move.Notes","dom_move.region","dom_move.value","stayhome.CountryCode","stayhome.Date","Stay.Home","stayhome.PolicyValue","stayhome.Flag","stayhome.Notes","stayhome.region","stayhome.value","gathering.CountryCode","gathering.Date","Gathering.Restrictions","gathering.PolicyValue","gathering.Flag","gathering.Notes","gathering.region","gathering.value","public_transport.CountryCode","public_transport.Date","Public.Transport","public_transport.PolicyValue","public_transport.Flag","public_transport.Notes","public_transport.region","public_transport.value"
"11","Azerbaijan","AZE",20200929,"C8: International travel controls",4,NA,"Azerbaijan has acknowledged that community spread of the COVID-19 virus is occurring and that COVID-19 infections are present in all regions of Azerbaijan. All land and air traffic in and out of Azerbaijan will remain closed at least through November 2, 2020.  http://web.archive.org/web/20201007233526/https://az.usembassy.gov/covid-19-information-for-azerbaijan/","azerbaijan","ban on all regions/total border closure","AZE",20200929,"C7: Restrictions on internal movement",2,"Regional","The term of the special quarantine regime and the hardened special quarantine regime in the territory of the Republic of Azerbaijan has been extended until 06:00 on November 2, 2020 by the cabinet of ministers.  http://web.archive.org/web/20201007230202if_/https://nk.gov.az/az/article/1073/   ","azerbaijan","restrictions in place","AZE",20200929,"C6: Stay at home requirements",1,"Regional","The term of the special quarantine regime and the hardened special quarantine regime in the territory of the Republic of Azerbaijan has been extended until 06:00 on November 2, 2020 by the cabinet of ministers.  http://web.archive.org/web/20201007230202if_/https://nk.gov.az/az/article/1073/ ","azerbaijan","recommend not leaving house","AZE",20200929,"C4: Restrictions on gatherings",4,"Regional","The term of the special quarantine regime and the hardened special quarantine regime in the territory of the Republic of Azerbaijan has been extended until 06:00 on November 2, 2020 by the cabinet of ministers.  http://web.archive.org/web/20201007230202if_/https://nk.gov.az/az/article/1073/ ","azerbaijan","restrictions on gatherings of <= 10 people","AZE",20200929,"C5: Close public transport",1,"National","The term of the special quarantine regime and the hardened special quarantine regime in the territory of the Republic of Azerbaijan has been extended until 06:00 on November 2, 2020 by the cabinet of ministers.  - In the territory of Baku, Sumgayit cities and Absheron region in the hardened special quarantine mode:  October 3, 2020 from 00:00 to October 5, 06:00, October 10 from 00:00 to October 12, 06:00 until 17:00 on October 17 from 06:00 on October 19, from 00:00 on October 24 to 06:00 on October 26 and from 00:00 on October 31 to 06:00 on November 2. Public transport and passenger transportation in the Baku Metro will be suspended   http://web.archive.org/web/20201007230202if_/https://nk.gov.az/az/article/1073/   ","azerbaijan","recommend closing/ significantly reduce volume"
"12","Bahrain","BHR",20201008,"C8: International travel controls",3,NA,"Current (8/10/20) entry requirements explained by the Ministry of Interior are copied below.    ""In light of the World Health Organization’s (WHO) 11 March 2020 declaration that the novel coronavirus (SARS-CoV-2) is a global pandemic, the Government of the Kingdom of Bahrain announces the following revised measures with effect from 00:00 Bahrain time on 4 September 2020:  1. Entry is restricted to Bahraini citizens, residents, GCC citizens who do not need a visa, passengers eligible to obtain a visa on arrival, passengers with a valid eVisa, diplomats, military personnel, airline crew, or holders of official, service or UN passports.  2. Visas on arrival are reintroduced for citizens of nationalities that are eligible for it. To determine eligibility, please visit evisa.gov.bh. To obtain an eVisa prior to your departure, please visit evisa.gov.bh.  3. All passengers must undergo a PCR test (at their own expense) on arrival. Arrivals must remain in self isolation until the result of the PCR test is determined. Any passenger staying in Bahrain for ten (10) days or longer must repeat the PCR test on the 10th day following their arrival in the Kingdom.""  Source: http://archive.today/2020.10.08-133608/https://www.evisa.gov.bh/VISA/visaInput?nav=A0S&A0S=a","bahrain","ban arrivals from some regions","BHR",20200928,"C7: Restrictions on internal movement",0,NA,"No new restriction. ","bahrain","no measures","BHR",20201003,"C6: Stay at home requirements",2,"National","From Ministry of Health  ""Dr. Al-Zayani also calls for the application of all the instructions, instructions and precautionary measures issued by the National Medical Team to address the Coronavirus (Covid 19), such as leaving the house only for necessity""   ""Leaving the house only for necessity"" could be potentially be interpreted here as a recommendation or requirement.  However, when considered in light of previous entry of 17th Sept, in which the stay at home measure was a noted to be a requirement, and given the latest message reiterates the importance of following existing measures,  conclusion is that the ""requirement"" criteria has been met.  Hence C6 = 2G.    Source: http://archive.today/2020.10.08-124148/https://www.moh.gov.bh/News/Details/4450","bahrain","require not leaving house except for essentials","BHR",20200928,"C4: Restrictions on gatherings",4,"National","Stay the same as the announcement made on 17 Sep. ","bahrain","restrictions on gatherings of <= 10 people","BHR",20200928,"C5: Close public transport",0,NA,"No new restriction. ","bahrain","no measures"
"13","Bangladesh","BGD",20200716,"C8: International travel controls",3,NA,"Commercial passenger flights from the UK, together with flights from Malaysia, Turkey, the UAE, Qatar and Sri Lanka are now permitted to land in Bangladesh. On arrival in Bangladesh, all foreign nationals are required to produce a medical certificate issued within 72 hours of travel indicating the passenger is COVID-19 negative. Passengers arriving from coronavirus affected countries, including the UK, are also required to self-quarantine for 14 days.     The temporary suspension of international passenger flights from: Bahrain, Bhutan, Hong Kong, India, Kuwait, the Maldives, Nepal, Oman, Saudi Arabia, Singapore and Thailand remains in force.","bangladesh","ban arrivals from some regions","BGD",20200716,"C7: Restrictions on internal movement",2,"Regional","Restrictions on movements on red zones i.e. zones under lockdown. Source:  http://archive.fo/5fpjF#selection-821.0-821.192","bangladesh","restrictions in place","BGD",20200804,"C6: Stay at home requirements",2,"Regional","On the 4th August 2020, the Bangladeshi government announced that it would be extending domestic restrictions to control the spread of COVID-19. The provisional deadline for the extension is the 31st August. This included the announcement that ""residents must wear masks when in public and stay home to the extent possible."" This is in addition to the continuing colour-coded classification system, wherein stricter regulations were imposed on areas of high COVID-19 levels within Bangladesh. In some cases this includes stricter regulations regarding staying at home, up to the level that staying home is required, but with exceptions.   Link: https://web.archive.org/web/20200807090705/https://www.worldaware.com/covid-19-alert-bangladesh-extends-modified-domestic-restrictions-through-aug-31","bangladesh","require not leaving house except for essentials","BGD",20200804,"C4: Restrictions on gatherings",4,"Regional","On the 4th August 2020, the Bangladeshi government announced that it would be extending domestic restrictions to control the spread of COVID-19. The provisional deadline for the extension is the 31st August. This included the banning of large gatherings. This is in addition to the continuing colour-coded classification system, wherein stricter regulations were imposed on areas of high COVID-19 levels within Bangladesh. In some cases this includes restrictions on private gatherings of fewer than 10 people.   Link: https://web.archive.org/web/20200807090705/https://www.worldaware.com/covid-19-alert-bangladesh-extends-modified-domestic-restrictions-through-aug-31","bangladesh","restrictions on gatherings of <= 10 people","BGD",20200804,"C5: Close public transport",1,"National","On the 4th August 2020, the Bangladeshi government announced that it would be extending domestic restrictions to control the spread of COVID-19. The provisional deadline for the extension is the 31st August. As of the 4th August, the restrictions permit for the partial resuming of public transport services, and ""bus services for long-distance routes and Dhaka are operating at reduced capacity and are implementing social distancing measures. Rail services have also resumed at reduced capacity and with social distancing measures in place.""  Link: https://web.archive.org/web/20200807090705/https://www.worldaware.com/covid-19-alert-bangladesh-extends-modified-domestic-restrictions-through-aug-31","bangladesh","recommend closing/ significantly reduce volume"
"14","Barbados","BRB",20200911,"C8: International travel controls",2,NA,"Countries of departure has been categorised by risk. Travellers arriving from high-risk countries will require a negative PCR test result, and quarantine upon arrival. Travellers arriving from lower risk countries will have less stringent requirements. See government website, archived: https://web.archive.org/web/20200920125329/https://www.visitbarbados.org/covid-19-travel-guidelines-2020 ","barbados","quarantine arrivals from some/ all regions","BRB",20200831,"C7: Restrictions on internal movement",0,NA,"No restrictions on intercity or interstate travel.    https://web.archive.org/web/20200910131310/https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/","barbados","no measures","BRB",20200821,"C6: Stay at home requirements",0,NA,"There are currently no lockdowns, curfews, or stay home requirements, in place, in Barbados. Exceptions are if you are in quarantine - due to being infected with coronavirus, having come from a High-Risk country, or “if the Barbados authorities deem that you have been in close contact with a COVID-19 positive individual.” Source: http://web.archive.org/web/20200830204502/https://www.gov.uk/foreign-travel-advice/barbados/coronavirus","barbados","no measures","BRB",20200725,"C4: Restrictions on gatherings",0,NA,"The Government published a guideline for event organisers. In it, it describes that the area designated for individuals is to be calculated at 25 sq ft per individual, and areas designated for groups should be calculated at 10 sq ft per person. Groups should be spaced at least 6 ft apart. There is no specified upper limit of persons allowed in each event. The COVID-19 Monitoring Unit specifically announced that gatherings beyond the 500 persons limit would be allowed on July 26 The Day of National Significance and August 1 Emancipation Day. See government guidelines, archived: https://web.archive.org/web/20200920122222/https://gisbarbados.gov.bb/download/covid-19-guideline-for-producers-of-events/ AND news article, archived: https://web.archive.org/web/20200920123718/https://today.caricom.org/2020/07/22/covid-19-update-barbados-relaxation-of-public-gathering-numbers-july-26-aug-1/ ","barbados","no restrictions","BRB",20200821,"C5: Close public transport",1,"National","The Transport Authority published guidelines for Transport Operators. In it, it states that buses should be filled to no more than 50% capacity with no standing passengers. Taxis should limit the number of passengers transport at each trip. See government guidelines, archived: https://web.archive.org/web/20200920124506/https://ta.gov.bb/News/Latest/COVID-19-Guidance-for-Business-Pla.aspx","barbados","recommend closing/ significantly reduce volume"
"15","Belarus","BLR",20200929,"C8: International travel controls",2,NA,"""Arrivals from certain countries affected by coronavirus must self-isolate for 14 days, regardless of whether they show symptoms.""  http://web.archive.org/web/20201008134947/https://www.gov.uk/foreign-travel-advice/belarus/entry-requirements","belarus","quarantine arrivals from some/ all regions","BLR",20200908,"C7: Restrictions on internal movement",0,NA,"No change in policy found.","belarus","no measures","BLR",20200908,"C6: Stay at home requirements",0,NA,"No change in policy found.","belarus","no measures","BLR",20200908,"C4: Restrictions on gatherings",0,NA,"No change in policy found.","belarus","no restrictions","BLR",20200908,"C5: Close public transport",0,NA,"No change in policy found.","belarus","no measures"
"16","Belgium","BEL",20200930,"C8: International travel controls",3,NA,"A ban on certain countries still applies. However Belgium has eased its travel restrictions on some ""red"" countries.    ""Click on the country or region where you are staying to find out what the conditions are when you return to Belgium.    These are the possibilities :    A COVID test and a quarantine are mandatory;  A COVID test and a quarantine are recommended;  A COVID test and a quarantine are not mandatory on return to Belgium.  Transit is possible, by any means of transport, without conditions or measures upon arrival in Belgium, including travel through red zones.    If you have any questions regarding the Passenger Locator Form, the COVID-19 test and the quarantine obligation in Belgium, please contact the FPS Public Health on 0800 14 689 or send an e-mail to info.coronavirus@health.fgov.be(link is external).""    https://web.archive.org/web/20201010014221/https://diplomatie.belgium.be/en      ""On September 25, a ban on travel to countries or regions with high infection rates, or 'Red Zones', was replaced by strong discouragement not to travel to these areas. Arrivals from these areas must take a COVID-19 test on arrival and quarantine for seven days, before taking a second test. ""    https://web.archive.org/web/20201010014144/https://www.garda.com/crisis24/news-alerts/386701/belgium-authorities-to-tighten-covid-19-restrictions-from-october-9-update-24","belgium","ban arrivals from some regions","BEL",20200930,"C7: Restrictions on internal movement",0,NA,"""In Belgium  You are allowed to move around freely.  If you are using public transport (bus, tram or train) and are you older than 12 years of age, wear a face mask or a scarf covering your mouth and nose.""    https://web.archive.org/web/20201010013257if_/https://www.info-coronavirus.be/en/faq/#id_6","belgium","no measures","BEL",20200930,"C6: Stay at home requirements",0,NA,"No policy change","belgium","no measures","BEL",20201009,"C4: Restrictions on gatherings",4,"National","The government announced the implementation of new restrictions from October 9th to November 9th because of a rise in cases:     ""Private gatherings at home: no more than four people, while complying with social distancing rules or, if that is not possible, while wearing a mask.""    ""Gatherings not organised outdoors: no more than four people, except for people living under the same roof.""    https://web.archive.org/web/20201010012518/https://www.belgium.be/en/news/2020/consultation_committee_decides_stricter_measures_and_appoints_covid_19_commissioner","belgium","restrictions on gatherings of <= 10 people","BEL",20200930,"C5: Close public transport",0,NA,"""In Belgium  You are allowed to move around freely.  If you are using public transport (bus, tram or train) and are you older than 12 years of age, wear a face mask or a scarf covering your mouth and nose.""    https://web.archive.org/web/20201010013257if_/https://www.info-coronavirus.be/en/faq/#id_6","belgium","no measures"
"17","Belize","BLZ",20201001,"C8: International travel controls",2,NA," Airports and land borders opened on October 1, subject to restrictions. See: https://www.pressoffice.gov.bz/what-to-expect-when-the-airport-reopens/ [accessed 8th October 2020, web archive unavailable]","belize","quarantine arrivals from some/ all regions","BLZ",20200929,"C7: Restrictions on internal movement",2,"Regional","There are restrictions on travel to certain communities that are experiencing large COVID-19 outbreaks. See: https://bz.usembassy.gov/covid-19-information/ [accessed 8th October 2020, web archive unavailable]","belize","restrictions in place","BLZ",20200915,"C6: Stay at home requirements",1,"National","No changes from previous data","belize","recommend not leaving house","BLZ",20200915,"C4: Restrictions on gatherings",4,"National","No changes from previous data","belize","restrictions on gatherings of <= 10 people","BLZ",20200902,"C5: Close public transport",0,NA,"""Public transportation is currently operating within Belize. All passengers are required to wear masks.""    https://web.archive.org/web/20200902003040/https://bz.usembassy.gov/covid-19-information/    ","belize","no measures"
"18","Benin","BEN",20200929,"C8: International travel controls",2,NA,"On 30 Sep the ministry of Health announced new measures for travelers, who will have to pay and give up personal info to be tested on arrival and allowed into the country  https://web.archive.org/web/20201009090856/https://www.gouv.bj/actualite/860/telechargez-guide-parcours-voyageurs-devant-effectuer-leur-test-covid-19-arrivee-depart-aeroport-cotonou--benin-/    Nevertheless, it seems that quarantine is still obligatory for all travelers","benin","quarantine arrivals from some/ all regions","BEN",20200915,"C7: Restrictions on internal movement",1,"National","'Travel within the country should be limited to essential travel only.'  https://web.archive.org/web/20200720145911/https://www.gov.uk/foreign-travel-advice/benin/coronavirus","benin","recommend not to travel between regions","BEN",20200317,"C6: Stay at home requirements",0,NA,"People are allowed to go out, but advised to keep at a safe distance from others","benin","no measures","BEN",20200915,"C4: Restrictions on gatherings",3,"National","'Gatherings of over 50 people are prohibited. Restrictions on bars, restaurants and entertainment spots have been lifted.'  https://web.archive.org/save/https://www.gov.uk/foreign-travel-advice/benin/coronavirus","benin","restrictions on gatherings between 11-100 people","BEN",20200915,"C5: Close public transport",0,NA,"'Travel within the country should be limited to essential travel only. Capacity on public transport is limited to 50%.'  https://web.archive.org/web/20200720145911/https://www.gov.uk/foreign-travel-advice/benin/coronavirus  ","benin","no measures"
"19","Bermuda","BMU",20200929,"C8: International travel controls",1,NA,"""Commercial airlines may return to Bermuda, but there are specific testing requirements to replace the requirement to quarantine for 14 days."" https://web.archive.org/web/20201008011749/https://www.gov.bm/coronavirus-phase4-guidance","bermuda","screening arrivals","BMU",20200929,"C7: Restrictions on internal movement",0,NA,"No change","bermuda","no measures","BMU",20200929,"C6: Stay at home requirements",0,NA,"No curfew or restrictions. https://web.archive.org/web/20201008011749/https://www.gov.bm/coronavirus-phase4-guidance","bermuda","no measures","BMU",20200929,"C4: Restrictions on gatherings",3,"National","""Persons should not gather in groups of 75 or more in public or private, except for specific circumstaces which include: wedding, funerals, worship settings, and public transport.""    https://web.archive.org/web/20201008011749/https://www.gov.bm/coronavirus-phase4-guidance","bermuda","restrictions on gatherings between 11-100 people","BMU",20200929,"C5: Close public transport",0,NA,"""Buses and ferries are back in operation with required physical distancing and mask wearing for patrons. Minibuses and Taxi operators have updated guidance to protect their health and safety while operating.""   https://web.archive.org/web/20201008011749/https://www.gov.bm/coronavirus-phase4-guidance","bermuda","no measures"
"20","Bhutan","BTN",20201012,"C8: International travel controls",2,NA,"Getting into the country: 21 days quarantine for people coming into the country: https://web.archive.org/web/20201012214313/https://www.gov.bt/covid19/02-10-20-highlights-from-the-press-brief-moh/    Leaving country: Within 72hrs prior to leaving the country a health certificate needs to be requested: https://web.archive.org/web/20201012213958/https://www.gov.bt/covid19/07-10-20-rules-for-individuals-travelling-out-of-the-country-moh/","bhutan","quarantine arrivals from some/ all regions","BTN",20201012,"C7: Restrictions on internal movement",2,"Regional","https://web.archive.org/web/20201012213728/https://www.gov.bt/covid19/08-10-20-revised-travel-advisory-moh/","bhutan","restrictions in place","BTN",20200904,"C6: Stay at home requirements",1,"National","Bhutan entered unlocking phase II on 4 Spetember. '?????? ???????????????????? ?????????? ???????? ???? ???????????? ???????????????? ???? ?????????????? ???????? ?????????? ??????, ???? ????????????????.'    https://archive.vn/P7SlC","bhutan","recommend not leaving house","BTN",20201012,"C4: Restrictions on gatherings",4,"National","5. Public gathering    – No social events like birthday, wedding, promotions, official dinners and functions will be allowed until further notice.  – Cremation and funeral rites will be limited to close family circles, as authorised by the local authorities.  – No outdoor activities like picnic, hiking, visiting spiritual sites are allowed in this period.    https://web.archive.org/web/20201012213410/https://www.gov.bt/covid19/31-08-20-press-release-pmo/","bhutan","restrictions on gatherings of <= 10 people","BTN",20201012,"C5: Close public transport",1,"National","https://web.archive.org/web/20201012213728/https://www.gov.bt/covid19/08-10-20-revised-travel-advisory-moh/","bhutan","recommend closing/ significantly reduce volume"
